,Campaign,Campaign ID,Campaign Start Date,Campaign End Date,Line Item,Line Item ID,Line Item End Date,Line Item Start Date,Cost,Impressions,Clicks
0,Campaign 1,865202,2017-04-03,2017-05-28,Line Item 1,2680866,2017-05-28,2017-04-03,27013.746257,325149,1542
1,Campaign 1,865202,2017-04-03,2017-05-28,Line Item 2,2680687,2017-05-28,2017-04-03,46293.606566,1094244,2694
2,Campaign 1,865202,2017-04-03,2017-05-28,Line Item 3,2680668,2017-05-28,2017-04-03,25442.522698,282845,993
3,Campaign 1,865202,2017-04-03,2017-05-28,Line Item 4,2680688,2017-05-28,2017-04-03,7216.21267,148367,143
4,Campaign 1,865202,2017-04-03,2017-05-28,Line Item 5,2685307,2017-05-28,2017-04-03,46577.49023,998375,2812
5,Campaign 1,865202,2017-04-03,2017-05-28,Line Item 6,2680868,2017-05-28,2017-04-03,69696.342186,1591598,6838
6,Campaign 1,865202,2017-04-03,2017-05-28,Line Item 7,2680695,2017-05-28,2017-04-03,33634.584641,746960,1716
7,Campaign 1,865202,2017-04-03,2017-05-28,Line Item 8,2680765,2017-05-28,2017-04-03,51699.739712,1035880,4092
8,Campaign 1,865202,2017-04-03,2017-05-28,Line Item 9,2680986,2017-05-28,2017-04-03,26084.061126,440013,1078
9,Campaign 2,1066527,2017-10-02,2017-11-30,Line Item 1,3250019,2017-11-30,2017-10-20,9867.284113,180771,584
10,Campaign 2,1066527,2017-10-02,2017-11-30,Line Item 2,3249959,2017-11-30,2017-10-20,21832.512288,410172,1184
11,Campaign 2,1066527,2017-10-02,2017-11-30,Line Item 3,3178441,2017-11-30,2017-10-02,22124.864689,265195,404
12,Campaign 2,1066527,2017-10-02,2017-11-30,Line Item 4,3178408,2017-11-30,2017-10-02,34811.283625,412255,1454
13,Campaign 2,1066527,2017-10-02,2017-11-30,Line Item 5,3178378,2017-11-30,2017-10-02,46143.852405,751521,1037
14,Campaign 2,1066527,2017-10-02,2017-11-30,Line Item 6,3178368,2017-11-30,2017-10-02,29784.336393,1393312,1541
15,Campaign 2,1066527,2017-10-02,2017-11-30,Line Item 7,3178331,2017-11-30,2017-10-02,44188.593549,7368968,4530
16,Campaign 2,1066527,2017-10-02,2017-11-30,Line Item 8,3178396,2017-11-30,2017-10-02,6355.572454,194356,327
17,Campaign 2,1066527,2017-10-02,2017-11-30,Line Item 9,3178426,2017-11-30,2017-10-02,26583.572572,806003,1054
18,Campaign 2,1066527,2017-10-02,2017-11-30,Line Item 10,3233982,2017-11-30,2017-10-16,17660.936568,448538,680
19,Campaign 2,1066527,2017-10-02,2017-11-30,Line Item 11,3178334,2017-11-30,2017-10-02,45188.60732,1385605,1692
20,Campaign 2,1066527,2017-10-02,2017-11-30,Line Item 12,3176031,2017-11-30,2017-10-02,11273.074998,228361,588
21,Campaign 3,856098,2017-03-20,2018-01-02,Line Item 1,2657244,2018-01-02,2017-03-20,110049.12003,1439669,2358
22,Campaign 3,856098,2017-03-20,2018-01-02,Line Item 2,2657321,2018-01-02,2017-03-20,34867.747789,447698,533
23,Campaign 3,856098,2017-03-20,2018-01-02,Line Item 3,2657238,2018-01-02,2017-03-20,19379.158491,242015,551
24,Campaign 3,856098,2017-03-20,2018-01-02,Line Item 4,2657360,2017-12-31,2017-03-20,59867.734458,753649,1141
25,Campaign 3,856098,2017-03-20,2018-01-02,Line Item 5,2657373,2018-01-02,2017-03-20,66867.873804,871852,1444
